id_autor,id_documento,id_principal,nome,tipo_autor,uri_autor,casa,partido,uf,cod_tipo_autor
74376,2263599,2263453,Vander Loubet,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74376,camara,PT,MS,10000
74398,2263453,2263453,Maria Do Rosário,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74398,camara,PT,RS,10000
74398,2263599,2263453,Maria Do Rosário,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74398,camara,PT,RS,10000
74439,2264293,2264144,Wolney Queiroz,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74439,camara,PDT,PE,10000
74439,2263512,2263448,Wolney Queiroz,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74439,camara,PDT,PE,10000
74784,2263463,2263463,Luiza Erundina,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74784,camara,PSOL,SP,10000
74784,2263496,2263463,Luiza Erundina,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74784,camara,PSOL,SP,10000
74784,2263490,2263463,Luiza Erundina,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74784,camara,PSOL,SP,10000
74848,2263598,2263453,Jandira Feghali,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74848,camara,PCdoB,RJ,10000
74848,2263453,2263453,Jandira Feghali,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74848,camara,PCdoB,RJ,10000
74848,2263472,2263461,Jandira Feghali,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74848,camara,PCdoB,RJ,10000
74848,2263461,2263461,Jandira Feghali,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74848,camara,PCdoB,RJ,10000
74848,2263471,2263461,Jandira Feghali,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74848,camara,PCdoB,RJ,10000
76874,2263463,2263463,Marcelo Freixo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/76874,camara,PSOL,RJ,10000
76874,2263496,2263463,Marcelo Freixo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/76874,camara,PSOL,RJ,10000
76874,2263598,2263453,Marcelo Freixo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/76874,camara,PSOL,RJ,10000
76874,2263490,2263463,Marcelo Freixo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/76874,camara,PSOL,RJ,10000
76874,2263453,2263453,Marcelo Freixo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/76874,camara,PSOL,RJ,10000
90842,2263836,2263836,Santini,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/90842,camara,PTB,RS,10000
90842,2263835,2263835,Santini,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/90842,camara,PTB,RS,10000
90842,2263834,2263834,Santini,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/90842,camara,PTB,RS,10000
