id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar,governismo,assinadas,autorias_ponderadas
204521,1204521,camara,Abou Anni,M,PSL,SP,Titular,1,1,4.787218496907698,0,0
204379,1204379,camara,Acácio Favacho,M,PROS,AP,Titular,1,1,4.988906209337301,0,0
204560,1204560,camara,Adolfo Viana,M,PSDB,BA,Titular,1,1,4.265913309300014,0,0
204528,1204528,camara,Adriana Ventura,F,NOVO,SP,Titular,1,1,5.8341673020696145,0,0
121948,1121948,camara,Adriano Do Baldy,M,PP,GO,Titular,1,1,8.306237875616283,0,0
204495,1204495,camara,Airton Faleiro,M,PT,PA,Titular,1,1,-4.030542436796088,7,3.2065508021390374
204549,1204549,camara,Aj Albuquerque,M,PP,CE,Titular,1,1,6.379843456578001,0,0
204413,1204413,camara,Alcides Rodrigues,M,PATRIOTA,GO,Titular,1,1,6.725604587228023,0,0
204545,1204545,camara,Alê Silva,F,PSL,MG,Titular,1,1,6.784773464193112,0,0
204501,1204501,camara,Alencar Santana Braga,M,PT,SP,Titular,1,1,-6.615933131211166,2,0.05976430976430976
204571,1204571,camara,Alex Santana,M,PDT,BA,Titular,1,1,1.8623912521360921,0,0
204544,1204544,camara,Alexandre Frota,M,PSDB,SP,Titular,1,1,1.9223966090740259,0,0
204503,1204503,camara,Alexandre Padilha,M,PT,SP,Titular,1,1,-6.363329008817578,5,1.1378186084068438
204516,1204516,camara,Alexis Fonteyne,M,NOVO,SP,Titular,1,1,5.740379840226717,0,0
204353,1204353,camara,Aline Gurgel,F,REPUBLICANOS,AP,Titular,1,1,3.3843928945113966,0,0
204400,1204400,camara,Aline Sleutjes,F,PSL,PR,Titular,1,1,9.051240767343337,0,0
204356,1204356,camara,Amaro Neto,M,REPUBLICANOS,ES,Titular,1,1,5.211263693853594,0,0
204423,1204423,camara,André Ferreira,M,PSC,PE,Titular,1,1,5.766778189489447,0,0
204515,1204515,camara,André Janones,M,AVANTE,MG,Titular,1,1,0.16649256187062633,0,0
204414,1204414,camara,Aroldo Martins,M,REPUBLICANOS,PR,Titular,1,1,5.1521638186743175,0,0
204509,1204509,camara,Áurea Carolina,F,PSOL,MG,Titular,1,1,-8.703365880613536,7,0.7361111111111112
109429,1109429,camara,Benes Leocádio,M,REPUBLICANOS,RN,Titular,1,1,4.871357872228785,1,1
204358,1204358,camara,Beto Pereira,M,PSDB,MS,Titular,1,1,3.829451838284143,0,0
207176,1207176,camara,Bia Cavassa,F,PSDB,MS,Suplente,1,1,3.3081489841010114,0,0
204374,1204374,camara,Bia Kicis,F,PSL,DF,Titular,1,1,10,0,0
204388,1204388,camara,Bibo Nunes,M,PSL,RS,Titular,1,1,7.013940565807001,0,0
204561,1204561,camara,Bira Do Pindaré,M,PSB,MA,Titular,1,1,-2.3571877716382303,4,1.1371143375680581
204397,1204397,camara,Boca Aberta,M,PROS,PR,Titular,1,1,1.1047743750083399,0,0
204551,1204551,camara,Bosco Saraiva,M,SOLIDARIEDADE,AM,Titular,1,1,4.317202057497745,0,0
204352,1204352,camara,Camilo Capiberibe,M,PSB,AP,Titular,1,1,-2.0397873596633147,3,0.13711433756805808
204572,1204572,camara,Capitão Alberto Neto,M,REPUBLICANOS,AM,Titular,1,1,5.209659962931161,0,0
204487,1204487,camara,Capitão Wagner,M,PROS,CE,Titular,1,1,2.2438209551058925,0,0
213762,1213762,camara,Carla Dickson,F,PROS,RN,Suplente,1,1,2.7716000943749535,0,0
204507,1204507,camara,Carla Zambelli,F,PSL,SP,Titular,1,1,7.478056898550424,0,0
204361,1204361,camara,Carlos Chiodini,M,MDB,SC,Titular,1,1,5.062974860827376,0,0
204460,1204460,camara,Carlos Jordy,M,PSL,RJ,Titular,1,1,7.175182810368309,0,0
204426,1204426,camara,Carlos Veras,M,PT,PE,Titular,1,1,-6.6381561454170885,7,0.46396803369420003
204369,1204369,camara,Caroline De Toni,F,PSL,SC,Titular,1,1,8.402132091038407,0,0
204499,1204499,camara,Cássio Andrade,M,PSB,PA,Titular,1,1,0.16776191500351523,0,0
204370,1204370,camara,Célio Moura,M,PT,TO,Titular,1,1,-3.874477464223572,9,0.7598424179306532
204488,1204488,camara,Célio Studart,M,PV,CE,Titular,1,1,-0.43727079680068215,11,8.367816091954023
