id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,status
139917,PEC,203,"Insere o § 3o no art. 20 e o inciso VIII no § 1º do art. 225 da Constituição Federal, para instituir o Fundo Nacional para Emergências Ambientais, e acrescenta o art. 115 no Ato das Disposições Constitucionais Transitórias, para estabelecer a fonte de recursos para o Fundo.",2019-11-25T00:00:00Z,senado,senado,Alessandro Vieira CIDADANIA / SE e outros,NA,NA,Ordinária,Plenário,5535,25535,4c04ec8caeab978a8777a5b6fec31fc6,Ativa
139448,MPV,901,"Altera a Lei nº 10.304, de 5 de novembro de 2001, que transfere ao domínio dos Estados de Roraima e do Amapá terras pertencentes à União.",2019-10-21T00:00:00Z,senado,camara,Presidência da República  ,NA,NA,Urgência,Plenário,6027,26027,c7e7eeb00c32ed1c6405e37584142e45,Caducou
2191516,PL,570,"Torna hediondos os crimes ambientais, quando afetam gravemente ecossistemas e coloquem em risco a vida e a saúde humanas. ",2019-02-08T13:49:00Z,camara,camara,Joenia Wapichana,RR,REDE,Prioridade,Plenário,NA,NA,ba86ca0ec1b9cac47e8fc1a402f98123,Ativa
2190945,PL,358,"Altera a Lei nº 9.605, de 1998 (Lei de Crimes Ambientais), para dispor sobre o valor das multas em caso de desastre ambiental. ",2019-02-05T09:29:00Z,camara,camara,Leandre,PR,PV,Prioridade,Plenário,NA,NA,f29ba97553271eb6c3614b3586b70a23,Ativa
2192260,PLP,37,"Altera a Lei Complementar no 140, de 8 de dezembro de 2011, para estabelecer a competência da União nos licenciamentos ambientais destinados a executar pesquisa lavra ou extração de recursos minerais em Estados compreendidos na Amazônia Legal. ",2019-02-14T17:46:00Z,camara,camara,Nicoletti,RR,PSL,Urgência,Plenário,NA,NA,6cc5712941a966b02388832f5fcfd261,Ativa
2192507,PL,940,"Altera a Lei nº 13.245, de 30 de março de 2017, e dá outras providências. ",2019-02-20T15:53:00Z,camara,camara,Elcione Barbalho,PA,MDB,Urgência,Plenário,NA,NA,1ab02e83a22f3dd9adcf2c2990e54580,Ativa
2227505,PL,5739,"Altera o Decreto-Lei nº 1.435, de 16 de dezembro de 1975, para incentivar a utilização de insumos provenientes na Amazônia Legal nos produtos industrializados na Zona Franca de Manaus. ",2019-10-30T11:40:00Z,camara,camara,Capitão Alberto Neto,AM,REPUBLICANOS,Prioridade,Conclusiva,NA,NA,f2308afbb4f44c3c692f6b3ce2597131,Ativa
2229754,PL,6024,"Altera os limites da Reserva Extrativista Chico Mendes, localizada nos municípios de Assis Brasil, Brasiléia, Capixaba, Epitaciolândia, Rio Branco e Sena Madureira, no Estado do Acre e modifica a categoria do Parque Nacional da Serra do Divisor. ",2019-11-19T14:51:00Z,camara,camara,Mara Rocha,AC,PSDB,Ordinária,Conclusiva,NA,NA,6da06eadf78db985f2c5ad85041daadd,Ativa
2231711,PDL,719,"Susta a aplicação do Decreto n° 10.140, de 28 de novembro de 2019, que ""Altera o Decreto nº 8.505, de 20 de agosto de 2015, que dispõe sobre o Programa Áreas Protegidas da Amazônia - ARPA"". ",2019-12-03T17:52:00Z,camara,camara,Airton Faleiro,PA,PT,Ordinária,Plenário,NA,NA,ea2f2a742e6a30b9ef3476eb883cee96,Ativa
2231774,PL,6271,Dispõe Política Nacional de Proteção do Bioma Amazônia. ,2019-12-03T18:51:00Z,camara,camara,Eduardo Costa,PA,PTB,Ordinária,Conclusiva,NA,NA,ab2d10c0a65bdb4b323ac2a4c252d80b,Ativa
