GW x geral,Pos/Neg/Neutro para o ambientalismo,id,sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,casa,tema,autor,link
,,2263115,PL,4669,2020,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, e a Lei nº 12.651, de 25 de maio de 2012, para determinar a perda da terra desmatada e estabelecer que áreas rurais com floresta nativa submetidas a queimadas ilegais serão convertidas em reserva legal.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263115
,,2263140,PL,4670,2020,Institui a Política de Acolhimento e Manejo de Animais Resgatados - AMAR,0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Alessandro Molon; Célio Studart; Professor Israel Batista; Professora Rosa Neide,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263140
,,2263214,PL,4690,2020,Dispõe sobre a criação da Brigada Nacional para prevenção e combate a incêndios florestais e dá outras providências.,0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Christino Aureo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263214
,,2263264,PL,4697,2020,"Torna hediondo o crime de incêndio em mata ou floresta, previsto no art. 41 da Lei nº 9.605, de 12 de fevereiro de 1998 – Lei de Crimes Ambientais.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Pedro Uczai,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263264
,,2263266,PL,4699,2020,Dispõe sobre a repactuação dos juros contratados em operações de financiamentos relacionados à atividade pecuária em virtude da seca e dos incêndios na Região Pantaneira dos estados do Mato Grosso e Mato Grosso do Sul.,0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Dagoberto Nogueira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263266
,,2263280,PL,4705,2020,"Altera a Lei n.º 5.197, de 3 de janeiro de 1967, para proibir o comércio de espécimes da fauna silvestre em qualquer situação.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart; Ricardo Izar,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263280
,,2263379,PL,4714,2020,"Dispõe sobre a obrigatoriedade de 
prévia contratação de seguro de 
responsabilidade civil por queimadas.",0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",José Nelto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263379
,,2263425,PL,4730,2020,"Altera a Lei nº 13.259, de 16 de março de 2016, para prever a destinação preferencial ao Programa Nacional de Reforma Agrária dos imóveis rurais obtidos pela União em razão da extinção de créditos tributários por dação em pagamento.",0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",João Daniel,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263425
,,2263447,PL,4734,2020,"Altera a Lei n° 8.171, de 17 de janeiro de 1991, que dispõe sobre a política agrícola, para criar o Selo Agro Verde; e aprimora o controle de origem e regularidade ambiental da produção agropecuária.",0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Zé Silva,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263447
,,2263448,PDL,414,2020,"Susta a Resolução CONAMA, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Alessandro Molon; Aliel Machado; Bira do Pindaré; Camilo Capiberibe; Danilo Cabral; Denis Bezerra; Elias Vaz; Gervásio Maia; Heitor Schuch; João H. Campos; Júlio Delgado; Lídice da Mata; Marcelo Nilo; Rafael Motta; Rodrigo Agostinho; Tadeu Alencar; Ted Conti; Túlio Gadêlha; Vilson da Fetaemg,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263448
